ID;PAÍS;QUANTIDADE (Kg) 2005;VALOR (US$) 2005;QUANTIDADE (Kg) 2006;VALOR (US$) 2006;QUANTIDADE (Kg) 2007;VALOR (US$) 2007;QUANTIDADE (Kg) 2008;VALOR (US$) 2008;QUANTIDADE (Kg) 2009;VALOR (US$) 2009;QUANTIDADE (Kg) 2010;VALOR (US$) 2010;QUANTIDADE (Kg) 2011;VALOR (US$) 2011;QUANTIDADE (Kg) 2012;VALOR (US$) 2012;QUANTIDADE (Kg) 2013;VALOR (US$) 2013;QUANTIDADE (Kg) 2014;VALOR (US$) 2014;QUANTIDADE (Kg) 2015;VALOR (US$) 2015;QUANTIDADE (Kg) 2016;VALOR (US$) 2016;QUANTIDADE (Kg) 2017;VALOR (US$) 2017;QUANTIDADE (Kg) 2018;VALOR (US$) 2018;QUANTIDADE (Kg) 2019;VALOR (US$) 2019
48;Guiana Francesa;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;64;362;0;0
49;Guine Equatorial;0;0;0;0;0;0;34;106;30;97;143;496;0;0;80;598;2912;14609;4000;23363;0;0;0;0;0;0;0;0;0;0
50;Hong Kong;0;0;0;0;15640;37502;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1105;3283;18566;118440
51;Ilha de Man;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48;116;150;440
52;Ilhas Virgens;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
53;Índia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;341;684;560;1634
54;Indonésia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
55;Irã;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;509;1013
56;Irlanda;14850;36300;59171;152169;336410;823212;764178;2288680;628605;2110422;220120;653560;88760;135771;61300;56563;80500;98900;0;0;0;0;162885;433477;199402;565158;143330;243068;514814;1113084
57;Islandia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12000;36321;0;0;13000;20725;0;0
58;Itália;121280;248258;109500;229560;91454;303669;145500;433464;103500;399731;115000;381261;115000;315501;118705;383214;48000;144696;0;0;0;0;0;0;0;0;28;94;154;387
59;Japão;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;239;840;721;2182
60;Jérsei;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;58
